time_s,class_name,confidence,north_m,east_m,down_m,source,image_path
1779300501.0969434,red_barrel,0.7980812355324074,0.028393223881721497,0.04154776781797409,-1.1134499311447144,color,detections/hunter_1779300501032.jpg
1779300501.1168346,yellow_barrel,0.7526077835648148,0.028393223881721497,0.04154776781797409,-1.1134499311447144,color,detections/hunter_1779300501032.jpg
1779300666.2044497,red_barrel,0.7325611255787037,2.681764602661133,-0.6261888146400452,-0.6261035799980164,color,detections/hunter_1779300666164.jpg
1779300666.204654,yellow_barrel,0.7124602141203704,2.681764602661133,-0.6261888146400452,-0.6261035799980164,color,detections/hunter_1779300666164.jpg
1779300669.7779543,red_barrel,0.6725869261188272,5.990196228027344,0.34983691573143005,0.5731939673423767,color,detections/hunter_1779300669734.jpg
1779300669.7781243,yellow_barrel,0.4786639178240741,5.990196228027344,0.34983691573143005,0.5731939673423767,color,detections/hunter_1779300669734.jpg
1779300675.2350936,red_barrel,0.6419065875771606,9.984671592712402,2.0075926780700684,2.29939603805542,color,detections/hunter_1779300675208.jpg
1779300675.236224,yellow_barrel,0.5162465036651235,9.984671592712402,2.0075926780700684,2.29939603805542,color,detections/hunter_1779300675208.jpg
1779300681.0457854,yellow_barrel,0.773582778742284,2.899951934814453,2.65431547164917,4.323935508728027,color,detections/hunter_1779300680997.jpg
1779300681.7771833,red_barrel,0.819384765625,3.198355197906494,2.833810806274414,4.539261341094971,color,detections/hunter_1779300681737.jpg
1779300685.832885,red_barrel,0.95,4.844180583953857,3.8062331676483154,5.6095147132873535,color,detections/hunter_1779300685768.jpg
1779300686.1612384,yellow_barrel,0.47991476176697534,4.844180583953857,3.8062331676483154,5.6095147132873535,color,detections/hunter_1779300686113.jpg
1779300688.6760888,red_barrel,0.4994429976851852,6.517157077789307,4.734886169433594,6.266055107116699,color,detections/hunter_1779300688644.jpg
1779300693.8018384,red_barrel,0.47153260030864197,9.956530570983887,6.576976299285889,1.4888135194778442,color,detections/hunter_1779300693767.jpg
1779300694.531786,yellow_barrel,0.95,10.273975372314453,6.73465633392334,1.4126548767089844,color,detections/hunter_1779300694479.jpg
1779300696.3419614,red_barrel,0.4866361641589506,11.639266014099121,7.391869068145752,1.056305170059204,color,detections/hunter_1779300696304.jpg
1779300696.7171805,yellow_barrel,0.931249397183642,11.958477973937988,7.544733047485352,0.9653781652450562,color,detections/hunter_1779300696676.jpg
1779300699.3187087,red_barrel,0.4530924479166667,2.816071033477783,4.67519474029541,0.2884812355041504,color,detections/hunter_1779300699264.jpg
1779300706.5423658,red_barrel,0.4698326581790124,7.4351277351379395,6.30839729309082,-0.8012128472328186,color,detections/hunter_1779300706481.jpg
